number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
4763,0.2541531149462811,509,0.11696419244641063,0.18643120845503752,,0.0001144137962801381,2,864,1760.0,
1005,0.2542290201365193,506,0.13166538523381,0.17643474921746755,,0.0003087582193645878,2,1248,1568.0,
6875,0.25439296103531284,488,0.10291230247653385,0.2838313093709712,,0.0001697543703988027,2,864,1824.0,
393,0.2546570503382531,509,0.20334824881183894,0.13959979091505278,,0.00014277624669549414,2,864,1440.0,
4,0.25478946769480737,502,0.34384859758840297,0.21207721127321363,,0.00044203164828841726,2,416,1632.0,
123,0.2549520187049361,592,0.254542569616647,0.2029357290956611,,0.0002845307050213406,2,928,928.0,
363,0.2549709567832249,385,0.217014995417712,0.2231393750614277,,0.00018057630234398576,2,992,1760.0,
917,0.2550004513061116,539,0.1334212481647865,0.17965092177501862,,0.00018780918840530968,2,1120,992.0,
1039,0.25517284700484266,515,0.147674388355276,0.17938252883091887,,0.0001571876677358421,2,864,1120.0,
5254,0.2553439921047781,352,0.14347474044803338,0.13040651612663984,,0.0002680023530852526,2,992,1888.0,
1176,0.2555408363161435,536,0.15164930634305332,0.1649221124570846,,0.0001705187108123159,2,992,1696.0,
3862,0.25584886877993795,554,0.1117983123157048,0.145870592310851,,0.00017789098390193304,2,1120,1824.0,
1220,0.2561625297481354,541,0.11422893203498183,0.12130535815665572,,0.0002194022310482812,2,1120,864.0,
1066,0.25637738938620847,341,0.12241191260126909,0.16843047279589152,,0.00015837215550481169,2,928,1632.0,
202,0.256555269794241,593,0.20849602699772624,0.16926434667105233,,0.00016715514042607322,2,1184,1120.0,
4564,0.2569799909857413,548,0.17090925320203168,0.17587342165342718,,0.0002583039246920077,2,1248,672.0,
17,0.25799364245696577,488,0.26443666747164907,0.18131206131197997,,5.710774073033097e-05,2,928,1376.0,
7274,0.2580815640367447,494,0.17963516514933545,0.1500884119947484,,9.10290973837441e-05,2,1184,1056.0,
135,0.2582294552975028,430,0.21674676582843871,0.145413708241683,,0.00030460357953775993,2,1056,1888.0,
253,0.25838194050474295,441,0.21272525050261054,0.16016318142037375,,9.184448033758611e-05,2,992,2144.0,
670,0.2586024886701735,588,0.301267865113321,0.1378572218264333,,0.00023576283369914616,2,1248,1952.0,
11418,0.259215014438049,548,0.13918215693043356,0.10740254748814122,,0.0003271631269770665,2,800,1824.0,
2428,0.25969778150315576,596,0.13991167831417833,0.15318476721427293,,0.00018324979835181935,2,1056,2144.0,
2125,0.26011519306094133,479,0.12988964195439828,0.11155653497596396,,0.00024280479710700595,2,992,928.0,
9988,0.26016811342572316,490,0.10717640447772325,0.17015605250473545,,0.0001832631136050013,2,992,1888.0,
7277,0.2604254097190801,560,0.13742138293355768,0.15740059488675281,,0.0004783695691158757,2,1184,1568.0,
7708,0.2608881824434165,397,0.12387648207642592,0.1368201906992143,,0.00016827711238867146,2,1440,1696.0,
11808,0.26110384677493265,485,0.1000458776713432,0.13542301942073934,,0.00017933842493098357,2,1312,1632.0,
101,0.2618363441430217,554,0.23738787810515996,0.19045796459437653,,0.0002791553616548111,2,864,992.0,
121,0.26222432695678166,463,0.24034317033774452,0.14523565896874333,,0.00011662678905271237,2,1120,1888.0,
7050,0.2622413959173038,522,0.11855437231231254,0.1201208031381664,,0.00015111326309841382,2,928,1888.0,
3544,0.2622905295325543,536,0.18244714808786736,0.12729143673153856,,0.00018600987888725272,2,928,1056.0,
6594,0.26314885963573337,385,0.10718597019662456,0.2375238929969468,,0.00013084539675374828,2,928,1056.0,
3984,0.26328292935833847,532,0.1481117148488216,0.1813392209671842,,0.00014428884135675503,2,1120,1120.0,
30,0.2634387293247757,578,0.31274789965969235,0.15824680528418533,,0.0003893497707108938,2,1120,2144.0,
3676,0.2636989078427629,416,0.12704608133128545,0.20308224357990984,,0.00023292566719109603,2,1056,1888.0,
139,0.2646103076873345,489,0.2640759117889201,0.19960022620649226,,0.00016769666234931393,2,1056,2016.0,
6313,0.26597732103698,474,0.2214532780795422,0.123000006636285,,0.00021977510824523904,2,1184,1760.0,
3192,0.26630361607143604,484,0.11524860889202154,0.1649679515168602,,0.00018634376179954687,2,992,1824.0,
3811,0.2664675257768899,466,0.10290378884864575,0.23578456704562079,,0.00036902876984102494,2,928,1952.0,
1667,0.26649456950149053,517,0.14068518863962196,0.13316942903879989,,0.00011766417540985746,2,1312,800.0,
1087,0.26673483165341805,504,0.13804277435355639,0.18559119401984175,,0.00024395605730704754,2,1184,1568.0,
18,0.2668890337063184,495,0.2581597274064534,0.2029764092008041,,0.00010725017402338063,2,992,1440.0,
7366,0.26739419360952527,522,0.12579304323305607,0.19852617305711642,,0.00036828775574710587,2,1440,1696.0,
145,0.2674109816966771,524,0.2664392554650154,0.18473130955969952,,0.00023664315573610845,2,1056,1184.0,
4469,0.26772579668943636,536,0.10474849958136719,0.14125089980425123,,0.00020608890670249672,2,736,1696.0,
7086,0.2681835399690806,476,0.14976012787807483,0.11571772955870899,,0.00016399873355033056,2,1056,1568.0,
20,0.2683041689073549,538,0.26099146460144956,0.19007238186998524,,0.00014240217476158018,2,928,1952.0,
7958,0.2685010110930047,501,0.11871230783824938,0.23241096304299902,,8.387265945999318e-05,2,2016,1824.0,
19,0.26853965716735434,503,0.26494465448264215,0.18834023234940753,,0.0001788367828592412,2,992,352.0,
1406,0.26874937052610826,529,0.15278624754346729,0.17827685269854943,,0.00022387539724146412,2,992,1760.0,
100,0.2691019478498008,268,0.23657314905710916,0.15188695522646012,,0.000131151692489355,2,1184,1760.0,
4401,0.26949306874471884,501,0.10503133849257489,0.21897385578531206,,0.00029887523355555905,2,1056,1760.0,
3737,0.2700258839911442,521,0.10815428252072996,0.21770402236326153,,0.00012374197459143015,2,1248,2016.0,
3134,0.2703192989350137,538,0.17908309382034152,0.1298029941773824,,0.00013859658723264486,2,1888,1952.0,
296,0.27043343239909484,373,0.10143756877770499,0.16169170535835423,,0.0003323567059008459,2,800,1184.0,
1093,0.27120420644568016,359,0.11725089076680449,0.11566589319212736,,0.00014559755579400416,2,1248,1568.0,
4848,0.2712723223148623,384,0.10320938436573716,0.27675066126644504,,9.930450598049564e-05,2,992,1888.0,
122,0.27179459694264485,431,0.2505273663264167,0.21607010749644198,,0.00045609493752022176,2,992,2016.0,
1067,0.2735113832277313,426,0.12778752840611024,0.17006457427366903,,0.00015049817425954863,2,928,1760.0,
39,0.27382472211682296,368,0.2907833250246206,0.1712032147109067,,5.7594335459490404e-05,2,1248,1696.0,
8263,0.27416294236417615,500,0.13601579599018548,0.1872745360320171,,0.00025301188221341184,2,1312,1760.0,
5857,0.2742513618750979,160,0.14010491919353676,0.23028999673255157,,0.0004215632027748828,2,1248,2080.0,
3061,0.274330825007342,343,0.11214606753784243,0.11450309335031036,,0.00042867347834024797,2,1184,1696.0,
1886,0.27444638519757436,542,0.11749461885020093,0.1287915318275577,,0.00018514190296004386,2,928,1632.0,
36,0.2747296113450743,369,0.30650019739509504,0.1676963214160953,,0.0001168180295557496,2,672,1120.0,
5727,0.27512628935845795,522,0.1000275184219949,0.10356107080268696,,0.00013503404332229556,2,1184,1952.0,
22,0.2755260478297576,508,0.22229836017441656,0.24052875970307372,,0.0001857566095008624,2,1056,1888.0,
3387,0.27575578847158155,444,0.10556225234914811,0.10489700159969947,,0.0002779564862821298,2,672,2016.0,
226,0.27628947797615055,161,0.2197394295166948,0.143296460062951,,0.00013877006933635168,2,1120,1888.0,
1105,0.2775098576766404,358,0.1206534799047627,0.10019135745636368,,0.00018945957394152907,2,1184,1632.0,
246,0.27989038624309276,279,0.25502913432202734,0.19541809246985256,,0.000138821370278381,2,992,1696.0,
1397,0.28132906139477737,181,0.21510846431316386,0.109021146522135,,0.00010468718975961664,2,992,1504.0,
131,0.28172569892842114,498,0.19248924095744002,0.1904854014656259,,0.00043483419116178203,2,992,928.0,
7324,0.28480194965205957,528,0.1151478796608163,0.20631225559960273,,0.0002651667444259077,2,1312,1760.0,
479,0.2851209684641125,533,0.22553897784034269,0.17253819153064096,,0.000504359681195863,2,928,1952.0,
15,0.2912291541039182,96,0.2765017197180774,0.18320404299598705,,9.06333568263046e-05,2,928,1248.0,
3096,0.3109646843761938,512,0.11564981154259273,0.14649346046188322,,0.0004302727524204537,2,992,864.0,
8,0.3125592180785986,412,0.333593378478227,0.4488322362991598,0.15420910459397694,0.0007383631024573688,3,1568,352.0,1952.0
3,0.3278570700500266,402,0.24750343125931848,0.19858921459811193,,2.88140517017203e-05,2,480,1440.0,
7,0.37069704247932184,107,0.3833131296086432,,,0.001642742822507162,1,800,,
5,0.8272554827317058,196,0.17497509446966794,,,0.012007318991164475,1,608,,
0,2.294453230372542,287,0.34776776355466626,0.27372644735678286,0.17781796278420206,0.001796733979984047,3,1184,2080.0,2080.0
2,119517161.87555556,185,0.49299361445478035,0.1394953607638624,0.38907090604082784,0.04184326532676463,3,1376,864.0,1312.0
