number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
373,0.27817731013571606,141,0.15450570023583662,1696
5233,0.28559034856074333,160,0.12361857486630098,864
140,0.2864017239947356,260,0.17944067168744407,1504
412,0.28744949548470483,681,0.15637055141380438,1696
2,0.2912360571303422,285,0.4049544875669119,1632
7302,0.291965460773575,251,0.14368057441317195,1632
4,0.29573895343800705,303,0.1785588461413027,480
5416,0.30081730822564773,149,0.11095585466446087,1696
153,0.3009364895014581,104,0.15621304906957018,1504
1781,0.30639107264757587,290,0.14185915077495842,1696
1950,0.3066277885894421,153,0.1719955337972377,1632
3,0.30731200779378487,174,0.10872187928071887,1440
1,0.30777358665896837,457,0.37259112755752694,928
0,0.30916409591281957,532,0.1455628781538191,864
