number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
2,0.26375453121721515,395,0.23314474976099792,0.43785063341512964,928,800
3,0.2790566656713057,431,0.1764105174648721,0.14870929907252567,1376,416
4,0.2793858491329795,94,0.11860156814805464,0.126029898856633,928,800
5272,0.2835516004581401,398,0.11027001487037894,0.13526700491271235,1184,1824
0,0.2850244452264616,134,0.12335525505677351,0.10842000482573194,1440,800
592,0.30515269259608263,76,0.1023839554694733,0.13913939590801924,1248,1440
1,0.308292700375773,334,0.31125721841602555,0.29545272348104523,1760,1376
