number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
8208,0.25870804627968097,136,0.11552673843524887,0.10290158601959193,0.19279696073597566,no freeze,0.00041778615331662894,3,1376,1632.0,1696.0
259,0.2593462229514656,142,0.12695519134707056,0.11132870922718019,,no freeze,0.00030615727870982154,2,1376,2144.0,
183,0.25937762595937836,114,0.16124940145030972,0.1158583724228399,0.1860103907737795,no freeze,0.0003007398329240866,3,1248,1632.0,1440.0
357,0.2613137745036204,104,0.2334243858703935,0.20995791892275892,0.16659144192402278,no freeze,0.0002801386319925599,3,544,2144.0,1760.0
2953,0.26328367930829977,114,0.10616079577257605,0.15109815559578202,0.15248423873958222,no freeze,0.00029258029494442334,3,1184,2016.0,1632.0
157,0.2635781167434329,139,0.12030796913133641,0.12441457401881068,0.14586758424061802,no freeze,0.00016387382207257755,3,800,1696.0,1312.0
51,0.2636706931561208,470,0.15611162340506374,,,no freeze,0.00013910895484258953,1,1440,,
752,0.26375639260609474,147,0.11398990448230392,0.16235037098584804,0.2055820159178234,no freeze,0.0002811771975942796,3,1376,2080.0,1440.0
18548,0.26434718413226954,50,0.10659683138936143,0.1098109499244496,0.1360287701894072,no freeze,0.00019995412141901679,3,1312,1760.0,1888.0
1009,0.26505696214275504,97,0.11176725780891406,0.14994625996637645,0.2380719295456615,no freeze,0.00018296557517900227,3,736,2080.0,1376.0
19345,0.2650974641198004,215,0.14437902497761684,0.11267123840044965,0.1773888394762041,no freeze,0.000259814866502068,3,608,1824.0,1824.0
76,0.2652153483417708,299,0.11842279911196132,0.11241446746107443,0.15482909929705208,no freeze,0.00022708097168398832,3,1376,2016.0,1696.0
73,0.2654272804411253,80,0.11856408412055426,0.12563110862722193,0.2134666462977739,no freeze,0.00019328728910458925,3,1248,2016.0,1760.0
3118,0.26629623801683244,214,0.11803323308120633,0.12782326351096873,0.30525313635752227,no freeze,0.00023473467837366432,3,928,1760.0,1888.0
5316,0.26654641570408716,50,0.12716653302031067,0.24686253353390517,0.14736737087150797,no freeze,0.00022934544570396066,3,1056,1952.0,1312.0
1276,0.26765073822899954,160,0.15074833239492114,0.12716066439420023,0.14459778006461702,no freeze,0.00025613412898513636,3,1376,1568.0,1312.0
6313,0.2681520232348891,169,0.19279915849835946,0.23740960202805053,0.22491375866099247,no freeze,0.0002104097916627298,3,672,1632.0,1696.0
