number,value,params_EPOCHS,params_lr
1131,0.26234196522655784,686,0.00011710942492495685
2418,0.26528481093819156,448,0.00010773997287524406
416,0.2706982251769178,597,0.000124017790217015
3,0.27195793187645206,459,6.88792318145533e-05
4834,0.27343192117529086,449,0.00014928398324807714
1478,0.27395170447501155,458,0.00012119150261916314
347,0.27462037506864767,436,0.00014845202554563
417,0.27538401236950144,657,0.00012340538526997734
4070,0.27570257670112647,602,0.00012762403772894118
384,0.27696293956810053,613,0.00013604307086224074
1996,0.2772257688677652,288,0.00014656663221564173
16,0.2774461786205168,479,9.227999863368143e-05
2380,0.2778634169701578,300,0.00012444766644537157
0,0.27860705260505847,621,0.00012575561802966961
5537,0.279559357430803,255,0.00018882014323982275
472,0.28011037343236855,216,0.0001086324165393339
2,0.2801711454629783,337,5.626353005648759e-05
138,0.2802791839601752,600,0.00013207368473225218
415,0.2806967851548672,247,0.00012486945036686004
1,0.28179705879317224,673,0.00012794766367431283
8,0.28291946823381126,437,0.00014544548792959803
10462,0.2831158702574356,365,0.00017410857311870987
1573,0.28684530090539906,455,9.892721892444678e-05
7,0.28821815556827596,227,3.313803303857044e-05
1514,0.2887346082224674,271,0.00016804463443443414
7018,0.2891765748150903,250,0.00014435767962037177
3233,0.28988393039770355,263,0.0001364859347227827
7589,0.2934741332028224,213,0.00012554080435444887
600,0.29754506617684995,220,0.0001362729340299088
312,0.3013003884814269,247,0.00011503510103702663
7108,0.3034579481162645,251,0.00010999242510221419
180,0.30532356792555665,286,4.790077419912319e-05
114,0.30689416232729383,225,6.198767971344933e-05
334,0.3082130799030843,198,0.00013474836955812948
4,0.31080081571294116,159,0.0001372466477700767
74,0.31411371335270327,212,4.9960259460933833e-05
5,0.32210311506268663,77,3.340296232121432e-05
6,0.3286908768119644,89,3.320231068125461e-05
