number,value,params_EPOCHS,params_lr
2448,0.673731660382674,605,0.011020564206679694
10070,0.6750222204951034,260,0.008258306887188498
5216,0.6773504544477005,580,0.010672234768634216
3063,0.6781067318389685,573,0.011670562867792519
7054,0.6817188023488554,155,0.01002555848794935
9596,0.6824459436824503,598,0.012300287151051508
4814,0.6840021512491182,191,0.009801678895014316
8930,0.6847837702459819,269,0.015126565247447012
1520,0.6873993135502688,227,0.00887273953818647
6219,0.6885365607585643,617,0.01168189434361771
11202,0.6890626395726516,121,0.014317748217670746
38,0.6917628280740151,261,0.009611124829439778
4191,0.6972392422351199,398,0.008680475119365925
1333,0.6990637448911393,552,0.009213968748208913
1649,0.6991131535697608,555,0.012035736637777406
7348,0.7013562125716567,289,0.007505606505231915
9055,0.7045009983537794,121,0.009399415923590174
2468,0.7052045087648164,588,0.007263617960353919
10347,0.708776690654584,104,0.026472388893122367
4097,0.7101332401747505,652,0.00972288834232618
7071,0.7102004851296617,261,0.016746720460772593
400,0.7102536374808803,196,0.00792388559366273
2825,0.710833108941251,567,0.010353574013724815
5016,0.71257621214731,597,0.01756698168398022
4976,0.7141572934948662,616,0.010038416141283589
0,0.7148713727602936,563,0.006174700486698381
1844,0.7171991027500353,282,0.01651301275115979
4099,0.7178777618178228,261,0.010292184092115403
6920,0.724360818408873,251,0.020358850678207543
39,0.724495925957948,294,0.011619788983560779
7001,0.7268373158087885,166,0.011066984438613228
10555,0.7310783562616153,299,0.011745615812008722
4249,0.731689037975848,239,0.008666233517392827
1350,0.7345388034085166,610,0.01156168934862874
446,0.7387193358108858,696,0.013962080215312672
1222,0.7425163635796936,244,0.010963216486337215
7553,0.7469360115929549,628,0.017279362821241647
5362,0.7482128111355545,282,0.013475909909285681
9561,0.7652374505697177,264,0.027577207425603864
8889,0.7655551261710072,303,0.007373030751978449
5961,0.7660030765822688,263,0.021257468920055055
510,0.7670937180757826,336,0.011956526298421805
6582,0.7693497314057846,241,0.018410532430146176
9361,0.7827421788413172,591,0.009239786206004791
11366,0.7851082523751838,427,0.009853310653869882
9234,0.7855459357313682,656,0.013609485119323667
2678,0.7899066543442961,240,0.01741841161353394
7145,0.7990868566371662,689,0.010014738567071543
6017,0.8020633734532024,292,0.020320748196316827
11203,0.8044544192414957,614,0.01369460169492762
7748,0.8058159193811338,295,0.01305209412856191
2450,0.805963275099243,659,0.010460565518458234
7428,0.8078475872522436,298,0.013407695050513533
8492,0.8091181334047912,545,0.01159410219276051
1034,0.8110059980015537,671,0.013681601434057226
7886,0.8114664448478561,313,0.017068694553099468
2,0.8188482435921216,282,0.029131938760361267
4322,0.8295559304016489,249,0.012453247174997231
9021,0.842939471856262,564,0.01544562180225249
4250,0.8512368453223058,245,0.014925050358611785
2915,0.8577948138628199,616,0.012885889844691426
10381,0.8632646413707374,376,0.017763844424797372
4599,0.8670305128243335,259,0.014189143468769535
993,0.8867671674799793,679,0.013507493419132996
11496,0.8876922850161972,595,0.025095597885063683
757,0.8927328503435866,318,0.024259421566502033
208,0.9215245400717685,152,0.007229759271966965
6236,0.9413293705022001,107,0.016703492024521528
5919,0.9418032923398496,197,0.015157304380648
1820,0.9632783867778791,182,0.009425910143862137
24,0.9760863825128254,168,0.004835954096130924
10658,0.9874561913677435,617,0.012253585089840901
