number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
205,0.25228791753697805,439,0.17833197809984708,0.10483891532969036,0.2061455014707851,no freeze,0.00011244749498829031,3,480,2080.0,1248.0
212,0.25233967665527246,486,0.11632720535393924,0.10272335235318493,0.22993219423790756,no freeze,0.00011912933327268106,3,608,2080.0,1248.0
14553,0.252599256076266,420,0.13506218243096843,0.10533590331059317,0.16609593078253776,no freeze,0.00015775084331651876,3,416,2144.0,1312.0
1318,0.2529970419829917,120,0.1908571649580304,0.18694259276992006,0.13808302532821748,no freeze,0.0001577545401515033,3,352,2144.0,1696.0
84,0.2530278704094124,408,0.20756804318953573,0.10093506923743767,0.14507117759382904,freeze,0.00011373168193352384,3,1760,608.0,2080.0
185,0.25326318666933606,442,0.18776736067743308,0.10039137084647883,0.10794446044702694,no freeze,0.00011298926434483943,3,480,2144.0,1312.0
950,0.25338499939574627,267,0.19591044513478476,0.13698994140364637,0.20560550970552274,no freeze,0.00013978882529992696,3,352,2016.0,1440.0
8823,0.25370335863461696,329,0.10294429350105452,0.13763981585756727,0.25850548760874076,no freeze,0.00024485132761689344,3,416,1952.0,1376.0
103,0.25386619349847933,537,0.1929201411032682,0.1051994534331391,0.13450630230675278,no freeze,7.876807205716769e-05,3,352,2080.0,1376.0
110,0.2540253797527475,495,0.19536504943391453,0.10406515269452793,0.10108856108072095,no freeze,6.948782052321531e-05,3,544,1952.0,736.0
443,0.2541929495284166,439,0.19484663214222928,0.10355395091784925,0.15003797060994725,no freeze,0.00010369594321410936,3,352,2080.0,800.0
322,0.254233946962055,128,0.10583611114357842,0.18526386831774017,0.22314003758632053,no freeze,0.00010265778263483148,3,416,2080.0,1184.0
11366,0.2544610405438073,402,0.17872311494933554,0.10735524478535145,0.10652576000423711,no freeze,0.0002701340191132627,3,416,1760.0,864.0
5492,0.25462700189757564,409,0.1805675699640672,0.11590672933862274,0.20943185727939165,no freeze,0.00023287062259017355,3,352,2080.0,864.0
587,0.25468867290875746,391,0.12454086425768632,0.10588253496788014,0.21714590159423336,no freeze,0.0002119940116439624,3,416,2144.0,1376.0
254,0.2548150926771983,490,0.10769070297722903,0.25797068954147684,0.23047018169471578,no freeze,0.00014267015056703433,3,544,2080.0,1312.0
150,0.25547022036229977,475,0.20174636608866264,0.19679717408282865,0.10297403371737436,no freeze,0.00013454783788835993,3,416,2144.0,1248.0
3642,0.25547959891563315,397,0.17431753405293604,0.10000003143741995,0.13416233374171818,no freeze,0.00011533596221932716,3,352,2144.0,1184.0
20374,0.25548239219005253,427,0.1027697576050954,0.1081465677088032,0.13358728576717382,no freeze,0.00017665924661058164,3,352,2080.0,864.0
104,0.25551459153677875,543,0.19406191265610823,0.10576690128015202,0.10020900764797387,no freeze,8.34609204836711e-05,3,352,2016.0,2016.0
4603,0.2556579511363089,185,0.1821159003546675,0.14894688651631788,0.16297308425064405,no freeze,0.00014603776443963904,3,416,1376.0,1312.0
682,0.2559564433231295,386,0.2519508813064262,0.11912445377166084,0.19936027932659114,no freeze,0.00014582216894911982,3,928,1632.0,1376.0
1502,0.2562169288421191,428,0.2963899355796987,0.11211907667697044,0.14090697322869997,no freeze,0.00012464987452973298,3,480,2080.0,1312.0
192,0.2565514596416829,419,0.14735593371563582,0.20314959157639573,0.15330515716081616,no freeze,0.00011876918796445177,3,608,2016.0,1312.0
190,0.2566282258041782,477,0.19355791977632306,0.10031727039561224,0.14881958621546135,no freeze,0.00013862202217668326,3,416,2016.0,1312.0
5507,0.2572024718123794,403,0.11215636995232445,0.10440583720578787,0.1983003144473769,no freeze,0.00017156342386732268,3,352,2080.0,864.0
333,0.25739046533091586,340,0.15263563212045123,0.10007764710863215,0.1973073217416519,no freeze,0.0002488856587627884,3,480,1056.0,1760.0
1224,0.2576612717911893,383,0.3311370094641098,0.10388141067127021,0.2042581516418635,no freeze,0.00017060374483700137,3,608,1312.0,1568.0
850,0.25768672013913,336,0.10297545916505539,0.10324645547845608,0.13647525742985925,no freeze,0.0001718795748936937,3,352,2016.0,1184.0
396,0.2576975292819757,394,0.11362058274352578,0.1036232301079732,0.21453111180816087,no freeze,0.0001418609548405732,3,352,1248.0,1504.0
1255,0.2579839070991677,446,0.14407620063135362,0.19427814820628006,0.21898021220881117,no freeze,0.00016311707816955222,3,480,2144.0,928.0
18717,0.25816661507260774,402,0.18468036245260136,0.11455001834412352,0.20098172461982194,no freeze,0.00027957008364017615,3,352,1696.0,1376.0
1738,0.2582874973980897,371,0.4127530590525806,0.18033756505169962,0.1307022953219987,no freeze,0.0003118233353145462,3,352,2080.0,1376.0
964,0.2583145312958031,396,0.3967426446538335,0.1481738285207836,0.16853175965733264,no freeze,0.00012670571022002294,3,416,2080.0,1184.0
139,0.25851148769480964,500,0.21144005913694133,0.10006556725869817,0.13470596436029256,no freeze,0.0001525554643425228,3,416,2080.0,1376.0
17026,0.25856593447859266,449,0.1647435104758672,0.12003982012389391,0.1456014747897919,no freeze,0.00017043305461246573,3,352,2144.0,864.0
219,0.2588111297331239,408,0.15827721962693517,0.11201825925437865,0.10788268496169763,no freeze,0.000125337367316348,3,928,1952.0,1248.0
1203,0.2588737353695628,189,0.17333156540469083,0.2711989839194943,0.2418775254218269,no freeze,0.00018369710845908384,3,672,2016.0,1056.0
