number,value,params_EPOCHS
8503,0.3098074105956227,558
4410,0.3179034124440123,298
184,0.33101583137216445,285
9713,0.3372849597504916,288
3569,0.3421034389109455,364
5638,0.3436867049714541,582
61,0.34623040879015277,379
20,0.3494392686164556,359
0,0.35369104116322986,470
147,0.3592408237575529,341
1,0.3797073333707656,337
6,0.38914241440359915,132
858,0.3968808083021369,64
4,0.4082944598106655,303
256,0.4226593050601158,100
493,0.4336795206880986,85
3,0.4782287001621282,268
