number,value,params_EPOCHS,params_lr
36,0.8523881071597808,566,0.001508656805142046
1728,0.854544505179947,129,0.006896820807507172
2341,0.8561021019962896,421,0.004117111991137949
11547,0.8562492151593917,453,0.005056087786494045
10869,0.8579019099203665,404,0.0055587953896479156
188,0.85876362977732,284,0.003971882758568134
1993,0.8596495071645188,128,0.005555626404230237
6144,0.8608280477198268,334,0.007760906007418758
51,0.8636640821434978,193,0.0043673469719929265
1039,0.8649633711705603,409,0.006475894639391656
1131,0.8656379732783372,227,0.005791495164650792
1047,0.8664591042087422,446,0.00722582959413359
1139,0.8665244475481854,100,0.006355353723633457
2032,0.8677348465551683,542,0.0055938095013712595
41,0.8689447697744517,225,0.007350444539789576
52,0.8699638905863935,203,0.0037084223910751547
11801,0.8700845834057883,360,0.004949788775905172
5902,0.8701928401612804,235,0.007193328828699241
10119,0.8703545935078013,311,0.006091836657113803
5118,0.8718190105352972,133,0.004558008974003634
94,0.87506465363824,213,0.0033499182454601807
1838,0.8778236687664378,153,0.005450527702283608
1990,0.8801555356473765,136,0.005489389981699911
776,0.8824326961867192,177,0.0032648215074105513
58,0.8836388349204922,378,0.002513309037166985
2140,0.8836628725393004,380,0.005341371535229968
216,0.8878220583019585,226,0.005420172627636085
10673,0.8880184590042632,108,0.009442199957855465
5478,0.8915860166473775,238,0.007103335501229628
418,0.89419718526792,468,0.007090419884966438
47,0.9005226123553736,192,0.0014956056529146454
39,0.9056655932888599,504,0.008556781671629326
10077,0.9080363447542779,433,0.00753285900717388
2372,0.9085536074346278,302,0.007266086989282068
4,0.9097554714472783,153,0.0060438087381482165
9111,0.9160827440934746,170,0.008483578940918838
9589,0.9224051314145564,324,0.007915640073122987
6101,0.9235145265166381,137,0.010170875228388205
7226,0.9269897821228988,339,0.008126528617044382
208,0.9309726123659362,387,0.004846715266299403
7016,0.9341304926951691,192,0.005561681442926601
1,0.9352693644996907,221,2.1130814095147183e-05
3987,0.9435282777782443,441,0.0053075471274776865
5409,0.9472928582999406,154,0.007086876056325467
3812,0.9494019057726971,417,0.007650835735943975
3206,0.9567600857370959,333,0.0073805678017873945
173,0.9585779955109778,138,0.007286366535194124
10006,0.9634543843268107,406,0.006457268126747998
5543,0.9638284966130164,401,0.009149289711984886
3310,0.9644858692558457,340,0.004920410456477744
1487,0.9676310082954243,333,0.007645920254626327
3865,0.9761735934474375,139,0.00935935125108852
5368,0.9800848602760089,111,0.007851380670268979
11276,0.9815855280344372,233,0.008002400067984198
6001,0.9885525205538161,584,0.005819395581518426
466,0.9895258892882608,250,0.006213948220592096
2220,0.993108747876388,175,0.005254151828663908
6285,0.9969157713745679,396,0.010500929937300018
8923,0.9991543872428816,237,0.005169736302919893
124,1.001800599631746,51,0.0058827259632656306
1326,1.0212791741191625,438,0.0076185171939600685
1421,1.0327815380194645,426,0.009102749121442105
1617,1.0329157460416902,323,0.006574357972211364
956,1.0345572361781743,157,0.006150464512570295
269,1.0397765880073042,206,0.006352369560698893
789,1.0506829529858004,405,0.0037677250512035457
1577,1.0548165209232476,141,0.004835079887733684
5178,1.0568787092500727,112,0.0074779797109083175
613,1.0633402876335876,190,0.009338720731817013
4631,1.0653162110078207,222,0.00589481392035272
1768,1.0787394932013787,298,0.005569660994782323
2269,1.0937830554536319,152,0.008973244667013462
5894,1.0986053375923088,399,0.010211107720096433
3185,1.1019103334646139,284,0.005425549848095011
218,1.1079136763850495,420,0.005821489311016705
9240,1.10971839000309,99,0.005215833496849049
238,1.1101851961805154,165,0.00351080941421896
207,1.1318824794662572,225,0.004717582467756965
4371,1.1390541406145187,98,0.004787306262051173
11409,1.1535303363628102,529,0.010070654458426427
11389,1.1654569328975197,347,0.006938418925697364
117,1.1702050074960075,149,0.004180226668229376
2557,1.1827563479623215,81,0.006432685015510182
5404,1.2008850432512075,298,0.005129345232744635
11800,1.2044473710770884,357,0.012808588540962704
6658,1.209253634179272,418,0.007948909440034608
2,1.2536025412187273,72,1.3790114547554234e-05
6242,1.2661558719063648,404,0.00663113272246091
2215,1.2716296773918503,177,0.006993452715558032
10526,1.3211598481736164,149,0.0076554747530596665
100,1.3573625242483642,408,0.005957610969889347
11601,1.3829405621209299,228,0.010035881240320078
164,1.441626785522897,125,0.010172757615890956
6664,1.4748559734054962,333,0.00821364419052237
3,1.6119272776144868,492,0.029263159988745756
10793,1.6876644964688523,104,0.010932768999793323
2272,2.7213728822521968,156,0.008880069992436021
6,5.789859056440128,94,0.0492108181842203
