number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_n_units_l0,params_n_units_l1
38,0.22707395415571496,425,0.15964795780786262,0.17866674875176813,544,2016
299,0.241497065245303,392,0.15976950716985394,0.14801085732382835,416,1376
491,0.2445019301866331,718,0.16592765239422744,0.20847762638816278,352,1696
401,0.24611909879966198,500,0.12201297537924034,0.14553861694797596,352,1952
42,0.24754088564763488,306,0.19500486230236277,0.16155021018402108,416,1632
7088,0.24764679313343582,527,0.1025604194250394,0.14051289067583272,416,1696
7224,0.24950204577134047,843,0.1296579393354796,0.24113445975335568,352,1696
49,0.25018677203002543,346,0.16155363455692742,0.21454966426654948,416,1888
338,0.2512040832357151,496,0.11402289340374917,0.25524855815244396,352,2016
1451,0.2536713417462323,368,0.22081838892080907,0.14341480233573625,352,2016
426,0.2555093468683905,513,0.1739880346617124,0.13106342892161774,352,1824
2505,0.2556021592219103,532,0.1249851801298352,0.1585354497318272,352,1952
2,0.2572028814054846,344,0.11788872617960142,0.21764609794132572,1568,672
1443,0.25779235221222735,332,0.13727553881700152,0.1345365658061552,352,2016
175,0.25963828294229147,710,0.17074644586887444,0.17250483814643328,416,1504
630,0.26288147806986467,700,0.12326662728051961,0.14988796041461228,352,1568
4,0.2630960016955645,923,0.17712006714809642,0.10484334566312274,352,1056
2983,0.2645854710163272,734,0.14149277131013815,0.20950443713854747,352,1696
2859,0.26637063149197215,576,0.1832213434656957,0.17076244771417495,416,1952
3,0.26846961767493127,330,0.12661182392822729,0.34075449922646817,1568,1696
0,0.27030831771063174,911,0.1107419230458537,0.1420217653059086,736,480
1,0.2724017036935092,491,0.36428121289303905,0.22234423572979678,1120,1120
2484,0.27336801056146115,569,0.12293455545097744,0.14961920492450764,352,1696
1538,0.27640950707291545,493,0.1678655572374522,0.16563944063966285,352,1888
488,0.28088971472350377,533,0.17106005331167756,0.1998187803163598,352,1760
41,0.2867055651825679,239,0.15516745939849458,0.1479030057919919,608,2016
