number,value,params_EPOCHS,params_dropout_l1,params_n_units_l1
1677,0.2788766187603704,686,0.2539843535401411,352
3749,0.2845553888375899,234,0.10956666220216278,480
4614,0.2864610013275369,204,0.15146410760564147,288
6885,0.2888694515711766,593,0.11342684143814544,352
6,0.2901483440632331,750,0.10029678117383095,288
51,0.29125677574968534,555,0.10131868450730809,608
52,0.2984051556566589,555,0.11093881819171755,608
1872,0.29961086459368036,145,0.10331951544137492,608
1322,0.3028098135956175,521,0.11178744813597237,352
1377,0.3055691286806753,717,0.10524597576948459,352
1,0.30624355287703514,336,0.36294282540406425,608
0,0.308416771923063,598,0.37042045565639986,288
84,0.3111453160379942,392,0.23770031184729004,416
3,0.3114066397145107,620,0.24077236272451838,288
5430,0.31215772444058043,237,0.11719277467906562,480
5517,0.3121705763657291,765,0.123379965582189,352
416,0.313273008152338,118,0.11483189181014447,224
48,0.3175454951967607,475,0.13118015424810084,608
208,0.3193782311060946,306,0.11934545234117022,544
2328,0.32103311385915934,111,0.21593728413033123,544
1545,0.32151279065456273,753,0.15706887486653906,480
2,0.3344744514577421,65,0.16282770034433258,544
8,0.3368883897803176,346,0.30430791496939685,352
4,0.34763099005558984,61,0.29460146628254164,416
