number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
9884,0.4083999701860028,362,0.15712178650817585,0.11193402622168551,,0.0004866236155604328,2,1440,1312.0,
646,0.40843614358170743,646,0.12568179809751667,0.12438333352150116,,0.0006521522030943398,2,1504,1888.0,
15,0.4086912629041008,492,0.14344882375109413,0.3663495628688186,,0.00012427415787923774,2,288,1056.0,
429,0.40884830007556416,493,0.2881530133240252,0.20140338808772118,,0.0004950721918164551,2,1376,1312.0,
227,0.4091407765048445,656,0.22061923508634812,0.4351493183300645,,0.0005828015038551463,2,1056,1760.0,
990,0.4091853833624319,429,0.22155347947199927,0.13212657175450904,,0.0005625552260865607,2,1440,1888.0,
17,0.40924847268654724,343,0.48624519013926704,0.10214015084842734,0.18858144518483336,0.00010722272722903746,3,864,1248.0,2016.0
251,0.4092664280646654,560,0.17221659065822206,0.22996160031550583,,0.0003502366210740298,2,1248,1824.0,
471,0.4093474387933906,644,0.17157515254255662,0.2939479163043303,,0.000546219949584675,2,1568,1952.0,
766,0.4093751627495787,574,0.13952167935770604,0.12083820131180747,,0.0005173035813465435,2,2016,1696.0,
1683,0.40958203878935456,589,0.1079957029648654,0.18354103008051714,,0.0008097997040334738,2,1312,2144.0,
260,0.4098962614589262,672,0.14162866040277614,0.15511386192336954,,0.0007700811431241379,2,1120,2080.0,
2868,0.4102495705589529,654,0.10676328645231299,0.12214057757647803,,0.0004613782956481941,2,1504,1888.0,
393,0.4103204481697658,509,0.35423342104144373,0.2607376836838874,,0.0004969877819362744,2,1440,1504.0,
240,0.41050687204589814,392,0.15452863776350273,0.23224936602356797,,0.0002806286870310784,2,992,1760.0,
37,0.41068025428484967,415,0.4271635879245162,0.22162626733584037,,0.0003888165692307015,2,800,608.0,
74,0.41112739800089354,432,0.4552757040986757,0.22796302680540287,,0.0005932465266893451,2,736,1440.0,
507,0.41128830397366556,642,0.28273182812588826,0.10350568462099531,,0.0007518394458097725,2,2016,2080.0,
3935,0.41134838703460713,563,0.1560865645999576,0.2091676062477686,,0.0005504730386976697,2,1184,1440.0,
1592,0.4115384966255582,469,0.12756893108491452,0.2523183823537348,,0.0003681509135517951,2,1312,1824.0,
7567,0.41155011818787496,585,0.21004889244197256,0.12450812802057643,,0.0004426250167038245,2,2016,1440.0,
4376,0.4121030737487802,644,0.21675854860683835,0.49909728972441736,,0.0003788446861666549,2,1632,1312.0,
832,0.4121438935861598,526,0.15472319812711136,0.16804137683286433,,0.0005991157388792929,2,2080,1824.0,
209,0.41221481676561206,597,0.1792122101193592,0.3604069981141076,,0.000395731809862433,2,1120,1952.0,
126,0.41229889924913493,606,0.3777885613616993,0.3511713853086199,,0.0005719321694006919,2,1184,2080.0,
1856,0.4129125488795846,441,0.12089240326973723,0.13022501538866446,,0.00043057390815515607,2,1376,1888.0,
1380,0.4130108929879656,664,0.16357879037640047,0.1266085857718863,,0.00041735052580111086,2,2080,1312.0,
94,0.4130216756820728,534,0.47423408308347254,0.11815040746544622,,0.0002558278742358124,2,1120,1248.0,
3616,0.4130582914681734,468,0.14310291352789098,0.1611514827442005,,0.0009804031984187065,2,1568,864.0,
70,0.41325217966663186,292,0.41214511606286697,0.30545624256253306,,0.00044451636909623377,2,800,1760.0,
1556,0.4134205121419885,700,0.2570125572721209,0.14162839719034062,,0.0006535636119489569,2,1120,1824.0,
2867,0.41373878116499796,613,0.2004550943195877,0.25760280549469033,,0.00045487145658913746,2,1632,1888.0,
1458,0.41429306515127495,567,0.11088054151905449,0.1692226363874049,,0.0005308085399081811,2,1312,1760.0,
4317,0.4152552418159916,190,0.16260238778159475,0.11999185688249889,,0.0006290908909729233,2,1440,1888.0,
6,0.41549324083026545,345,0.10968345889878947,0.10665889305120475,0.18705003656917715,1.1250246007266311e-05,3,1376,1248.0,608.0
16,0.41550357952676237,497,0.1503237980795,0.4300624977678764,0.462983235897577,8.803139507700933e-05,3,352,992.0,2080.0
278,0.41566699525546064,388,0.16859236554885115,0.25630011608714903,,0.0002596769990806516,2,1888,1824.0,
553,0.4160063987100737,635,0.157869752114525,0.17327366898349178,,0.00040563756559539374,2,1504,1568.0,
8754,0.41603668766295315,648,0.1091306214662634,0.1483584917753344,,0.0004957034233997302,2,1504,1888.0,
724,0.41622134661274146,345,0.15407131449458072,0.12481516395380193,,0.0007221144505872286,2,544,1888.0,
589,0.4164194020585469,689,0.19955193364600937,0.3800785402769117,,0.0004957795824606191,2,1248,1888.0,
243,0.41649030111047675,646,0.24463712770766785,0.37462623543986473,,0.0006225348677783995,2,1056,2144.0,
681,0.41660409304121526,680,0.26162108515678895,0.2923296231403268,,0.000698955799345987,2,1440,1760.0,
